k,direction,units_with_movers,units_excluded_lt_k,P@k,P@k_sd,recall@k,recall@k_sd,frac_units_with_hit
5,down,217,0,0.16589861751152074,0.23854058740894957,0.24560596853223582,0.33213586930408956,0.4608294930875576
5,up,246,0,0.2146341463414634,0.23811008140468914,0.33655933046176945,0.35827653156339095,0.6097560975609756
10,down,217,0,0.1460829493087558,0.17172438676208193,0.4455779115917365,0.3937273512093795,0.663594470046083
10,up,246,0,0.17601626016260166,0.17377323714251636,0.4981540252881717,0.3705208081061331,0.7642276422764228
15,down,215,2,0.12465116279069766,0.1355134546842368,0.5639883759651202,0.3943283377799841,0.7627906976744186
15,up,245,1,0.15238095238095237,0.14405844115191646,0.6486561284520468,0.36044456976923567,0.8530612244897959
20,down,213,4,0.11150234741784038,0.1146400623307718,0.6444654719302607,0.3819887850284948,0.8075117370892019
20,up,244,2,0.13586065573770495,0.1262433127963597,0.7632045663807959,0.3253400131972535,0.9016393442622951
