variance,rho_marginal,rho_partial_on_n
"model (nu_cal, full)",0.5279832106134813,0.5196988581478021
"model (nu_raw, full)",0.5266710925172515,0.5082273863027259
model (floor only),0.5110953594139008,0.5118651074819253
NULL (n + global rate),0.11999088805052373,0.0016135205151601546
